id,Name,Manufacturer,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Length,TDP,Expansion Slot Width,Cooling,Price,Url
13,Gigabyte GeForce RTX 3080 Ti 12 GB GAMING OC Video Card (GV-N308TGAMING OC-12GD),Gigabyte,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1770 MHz,,PCIe x16,Black / Silver,320 mm,350 W,2,3 Fans,€1299.90,https://fi.pcpartpicker.com/product/PjGbt6/gigabyte-geforce-rtx-3080-ti-12-gb-gaming-oc-video-card-gv-n308tgaming-oc-12gd
14,Asus GeForce RTX 2060 6 GB DUAL EVO OC Video Card (DUAL-RTX2060-O6G-EVO),Asus,GeForce RTX 2060,6 GB,GDDR6,1365 MHz,1785 MHz,14000 MHz,PCIe x16,Black,242 mm,160 W,2,2 Fans,€299.90,https://fi.pcpartpicker.com/product/fYNgXL/asus-geforce-rtx-2060-6-gb-dual-evo-oc-video-card-dual-rtx2060-o6g-evo
15,MSI GeForce RTX 3060 Ti LHR 8 GB VENTUS 2X OCV1 Video Card (GeForce RTX 3060 Ti VENTUS 2X 8G OCV1 LHR),MSI,GeForce RTX 3060 Ti LHR,8 GB,GDDR6,1410 MHz,1695 MHz,14000 MHz,PCIe x16,Black / Gray,235 mm,200 W,2,2 Fans,€629.90,https://fi.pcpartpicker.com/product/L9BG3C/msi-geforce-rtx-3060-ti-lhr-8-gb-ventus-2x-ocv1-video-card-geforce-rtx-3060-ti-ventus-2x-8g-ocv1-lhr
16,EVGA GeForce RTX 3060 Ti LHR 8 GB XC GAMING Video Card (08G-P5-3663-KL),EVGA,GeForce RTX 3060 Ti LHR,8 GB,GDDR6,1410 MHz,1710 MHz,14000 MHz,PCIe x16,Black,202 mm,200 W,2,2 Fans,€649.90,https://fi.pcpartpicker.com/product/jZFbt6/evga-geforce-rtx-3060-ti-lhr-8-gb-xc-gaming-video-card-08g-p5-3663-kl
17,MSI GeForce RTX 3080 12GB LHR 12 GB VENTUS 3X PLUS OC Video Card (GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR),MSI,GeForce RTX 3080 12GB LHR,12 GB,GDDR6X,1260 MHz,1740 MHz,,PCIe x16,Black / Gray,305 mm,350 W,2,3 Fans,€1199.90,https://fi.pcpartpicker.com/product/ggNxFT/msi-geforce-rtx-3080-12gb-lhr-12-gb-ventus-3x-plus-oc-video-card-geforce-rtx-3080-ventus-3x-plus-12g-oc-lhr
18,MSI GeForce RTX 3080 10GB LHR 10 GB GAMING Z TRIO Video Card (RTX 3080 GAMING Z TRIO 10G LHR),MSI,GeForce RTX 3080 10GB LHR,10 GB,GDDR6X,1440 MHz,1830 MHz,19000 MHz,PCIe x16,Black,323 mm,370 W,2,3 Fans,€969.90,https://fi.pcpartpicker.com/product/MXYmP6/msi-geforce-rtx-3080-lhr-10-gb-gaming-z-trio-video-card-rtx-3080-gaming-z-trio-10g-lhr
19,Gigabyte GeForce RTX 3080 12GB LHR 12 GB GAMING OC Video Card (GV-N3080GAMING OC-12GD),Gigabyte,GeForce RTX 3080 12GB LHR,12 GB,GDDR6X,1260 MHz,1755 MHz,19000 MHz,PCIe x16,Black / Silver,320 mm,350 W,2,3 Fans,€1069.90,https://fi.pcpartpicker.com/product/VpJgXL/gigabyte-geforce-rtx-3080-12gb-lhr-12-gb-gaming-oc-video-card-gv-n3080gaming-oc-12gd
20,Asus GeForce RTX 3070 Ti 8 GB ROG STRIX GAMING OC Video Card (ROG-STRIX-RTX3070TI-O8G-GAMING),Asus,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,,19000 MHz,PCIe x16,Black / Silver,318 mm,290 W,2,3 Fans,€879.90,https://fi.pcpartpicker.com/product/XmLFf7/asus-geforce-rtx-3070-ti-8-gb-rog-strix-gaming-oc-video-card-rog-strix-rtx3070ti-o8g-gaming
21,MSI GeForce RTX 2060 6 GB VENTUS GP OC Video Card (RTX 2060 VENTUS GPOC),MSI,GeForce RTX 2060,6 GB,GDDR6,1365 MHz,1710 MHz,14000 MHz,PCIe x16,Gray / Black,231 mm,160 W,2,2 Fans,€399.90,https://fi.pcpartpicker.com/product/3ZrRsY/msi-geforce-rtx-2060-6-gb-ventus-gp-oc-video-card-rtx-2060-ventus-gpoc
22,MSI GeForce RTX 3070 Ti 8 GB GAMING X TRIO Video Card (GeForce RTX 3070 Ti GAMING X TRIO 8G),MSI,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1830 MHz,19000 MHz,PCIe x16,Black / Silver,323 mm,310 W,2,3 Fans,€859.90,https://fi.pcpartpicker.com/product/JjGbt6/msi-geforce-rtx-3070-ti-8-gb-gaming-x-trio-video-card-geforce-rtx-3070-ti-gaming-x-trio-8g
23,PNY RTX A6000 48 GB Video Card (VCNRTXA6000-PB),PNY,RTX A6000,48 GB,GDDR6,1455 MHz,1860 MHz,16000 MHz,PCIe x16,Black / Gold,267 mm,300 W,2,1 Fan,€6186.00,https://fi.pcpartpicker.com/product/HWt9TW/pny-rtx-a6000-48-gb-video-card-vcnrtxa6000-pb
24,MSI GeForce RTX 3090 Ti 24 GB SUPRIM X Video Card (RTX 3090 TI SUPRIM X 24G),MSI,GeForce RTX 3090 Ti,24 GB,GDDR6X,1560 MHz,1965 MHz,,PCIe x16,Silver / Black,338 mm,480 W,3,3 Fans,€2289.90,https://fi.pcpartpicker.com/product/G7Fbt6/msi-geforce-rtx-3090-ti-24-gb-suprim-x-video-card-rtx-3090-ti-suprim-x-24g
25,MSI GeForce RTX 3080 Ti 12 GB GAMING X TRIO Video Card (GeForce RTX 3080 Ti GAMING X TRIO 12G),MSI,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1770 MHz,19000 MHz,PCIe x16,Black / Silver,324 mm,350 W,2,3 Fans,€1359.90,https://fi.pcpartpicker.com/product/DDwypg/msi-geforce-rtx-3080-ti-12-gb-gaming-x-trio-video-card-geforce-rtx-3080-ti-gaming-x-trio-12g
