id,Name,Manufacturer,Core Count,Performance Core Clock,Performance Boost Clock,TDP,Integrated Graphics,L3 Cache,Simultaneous Multithreading,Includes CPU Cooler,Socket,Price,Url
23,Intel Pentium Gold G6500 4.1 GHz Dual-Core Processor (BX80701G6500),Intel,2,4.1 GHz,,58 W,Intel UHD Graphics 630,1 x 4 MB,Yes: Hyper-Threading,Yes,LGA1200,€100.00,https://fi.pcpartpicker.com/product/Qkyqqs/intel-pentium-gold-g6500-41-ghz-dual-core-processor-bx80701g6500
24,Intel Pentium Gold G6600 4.2 GHz Dual-Core Processor (BX80701G6600),Intel,2,4.2 GHz,,58 W,Intel UHD Graphics 630,1 x 4 MB,Yes: Hyper-Threading,Yes,LGA1200,€116.00,https://fi.pcpartpicker.com/product/KwFKHx/intel-pentium-gold-g6600-42-ghz-dual-core-processor-bx80701g6600
25,Intel Core i3-12100F 3.3 GHz Quad-Core Processor (BX8071512100F),Intel,4,3.3 GHz,4.3 GHz,58 W,None,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1700,€118.90,https://fi.pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f
26,Intel Core i3-10100F 3.6 GHz Quad-Core Processor (BX8070110100F),Intel,4,3.6 GHz,4.3 GHz,65 W,None,1 x 6 MB,Yes: Hyper-Threading,Yes,LGA1200,€90.00,https://fi.pcpartpicker.com/product/r8Dkcf/intel-core-i3-10100f-36-ghz-quad-core-processor-bx8070110100f
27,Intel Core i3-10105F 3.7 GHz Quad-Core Processor (BX8070110105F),Intel,4,3.7 GHz,4.4 GHz,65 W,None,1 x 6 MB,Yes: Hyper-Threading,Yes,LGA1200,€89.00,https://fi.pcpartpicker.com/product/hYgFf7/intel-core-i3-10105f-37-ghz-quad-core-processor-bx8070110105f
28,Intel Core i3-12100 3.3 GHz Quad-Core Processor (BX8071512100),Intel,4,3.3 GHz,4.3 GHz,60 W,Intel UHD Graphics 730,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1700,€167.00,https://fi.pcpartpicker.com/product/qrhFf7/intel-core-i3-12100-33-ghz-quad-core-processor-bx8071512100
29,Intel Core i3-10100 3.6 GHz Quad-Core Processor (BX8070110100),Intel,4,3.6 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,1 x 6 MB,Yes: Hyper-Threading,Yes,LGA1200,€141.00,https://fi.pcpartpicker.com/product/qtqBD3/intel-core-i3-10100-36-ghz-quad-core-processor-bx8070110100
30,Intel Core i3-10105 3.7 GHz Quad-Core Processor (BX8070110105),Intel,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,1 x 6 MB,Yes: Hyper-Threading,Yes,LGA1200,€134.00,https://fi.pcpartpicker.com/product/Xht9TW/intel-core-i3-10105-37-ghz-quad-core-processor-bx8070110105
31,Intel Core i3-10300 3.7 GHz Quad-Core Processor (BX8070110300),Intel,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,1 x 8 MB,Yes: Hyper-Threading,Yes,LGA1200,€190.00,https://fi.pcpartpicker.com/product/g9PgXL/intel-core-i3-10300-37-ghz-quad-core-processor-bx8070110300
32,Intel Core i3-10320 3.8 GHz Quad-Core Processor (BX8070110320),Intel,4,3.8 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,1 x 8 MB,Yes: Hyper-Threading,Yes,LGA1200,€203.00,https://fi.pcpartpicker.com/product/tZPgXL/intel-core-i3-10320-38-ghz-quad-core-processor-bx8070110320
33,Intel Core i3-10305 3.8 GHz Quad-Core Processor (BX8070110305),Intel,4,3.8 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,1 x 8 MB,Yes: Hyper-Threading,Yes,LGA1200,€190.00,https://fi.pcpartpicker.com/product/HnLFf7/intel-core-i3-10305-38-ghz-quad-core-processor-bx8070110305
34,Intel Core i5-12600K 3.7 GHz 10-Core Processor (BX8071512600K),Intel,10,3.7 GHz,4.9 GHz,125 W,Intel UHD Graphics 770,1 x 20 MB,Yes: Hyper-Threading,No,LGA1700,€349.90,https://fi.pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k
35,Intel Core i5-12400F 2.5 GHz 6-Core Processor (BX8071512400F),Intel,6,2.5 GHz,4.4 GHz,65 W,None,1 x 18 MB,Yes: Hyper-Threading,Yes,LGA1700,€209.90,https://fi.pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f
36,Intel Core i5-12600KF 3.7 GHz 10-Core Processor (BX8071512600KF),Intel,10,3.7 GHz,4.9 GHz,125 W,None,1 x 20 MB,Yes: Hyper-Threading,No,LGA1700,€329.90,https://fi.pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf
