id	Name	Manufacturer	Form Factor	Efficiency Rating	Wattage	Length	Modular	Color	Type	Fanless	ATX Connectors	EPS Connectors	PCIe 12-Pin Connectors	PCIe 8-Pin Connectors	PCIe 6+2-Pin Connectors	PCIe 6-Pin Connectors	SATA Connectors	Molex 4-Pin Connectors	Price	Url
58	Fractal Design Ion Gold 850 W 80+ Gold Certified Fully Modular ATX Power Supply (FD-P-IA2G-850)	Fractal Design	ATX	80+ Gold	850 W	150 mm	Full	Black	ATX	No	0	2	0	0	6	0	8	3	€119.90	https://fi.pcpartpicker.com/product/8ZJgXL/fractal-design-ion-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-fd-p-ia2g-850
59	Corsair RMx (2018) 850 W 80+ Gold Certified Fully Modular ATX Power Supply (CP-9020188-NA)	Corsair	ATX	80+ Gold	850 W	150 mm	Full	White / Black	ATX	No	0	2	0	0	6	0	10	8	€154.00	https://fi.pcpartpicker.com/product/dnhKHx/corsair-rmx-2018-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020188-na
60	Corsair TX750M 750 W 80+ Gold Certified Semi-modular ATX Power Supply (CP-9020230-EU)	Corsair	ATX	80+ Gold	750 W	140 mm	Semi	Black	ATX	No	0	2	0	0	4	0	7	4	€129.00	https://fi.pcpartpicker.com/product/J6gFf7/corsair-txm-2021-750-w-80-gold-certified-semi-modular-atx-power-supply-cp-9020230-eu
61	SeaSonic FOCUS GX 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (FOCUS-GX-1000)	SeaSonic	ATX	80+ Gold	1000 W	140 mm	Full	Black	ATX	No	0	2	0	0	6	0	10	5	€189.00	https://fi.pcpartpicker.com/product/VDqBD3/seasonic-focus-gx-1000-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-1000
62	be quiet! Dark Power Pro 12 1200 W 80+ Titanium Certified Fully Modular ATX Power Supply (BN646)	be quiet!	ATX	80+ Titanium	1200 W	200 mm	Full	Black	ATX	No	0	2	0	0	10	0	16	8	€364.90	https://fi.pcpartpicker.com/product/c96qqs/be-quiet-dark-power-pro-12-1200-w-80-titanium-certified-fully-modular-atx-power-supply-bn646
63	MSI MPG A1000G 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (MPG A1000G)	MSI	ATX	80+ Gold	1000 W	150 mm	Full	Black	ATX	No	0	2	0	0	7	0	12	4	€206.90	https://fi.pcpartpicker.com/product/bRXJ7P/msi-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000g
64	Super Flower Leadex III Gold 850 W 80+ Gold Certified Fully Modular ATX Power Supply (SF-850F14HG)	Super Flower	ATX	80+ Gold	850 W	160 mm	Full	Black	ATX	No	0	2	0	0	6	0	9	4	€127.90	https://fi.pcpartpicker.com/product/8z7p99/super-flower-leadex-iii-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-sf-850f14hg
65	Phanteks AMP 650 W 80+ Gold Certified Fully Modular ATX Power Supply (PH-P650G_US01)	Phanteks	ATX	80+ Gold	650 W	140 mm	Full	Black	ATX	No	0	2	0	0	4	0	8	3	€104.90	https://fi.pcpartpicker.com/product/4xGnTW/phanteks-amp-650-w-80-gold-certified-fully-modular-atx-power-supply-ph-p650g_us01
66	be quiet! Straight Power 11 850 W 80+ Platinum Certified Fully Modular ATX Power Supply (BN643)	be quiet!	ATX	80+ Platinum	850 W	170 mm	Full	Black	ATX	No	0	2	0	0	4	0	11	4	€214.00	https://fi.pcpartpicker.com/product/nqXYcf/be-quiet-straight-power-11-850-w-80-platinum-certified-fully-modular-atx-power-supply-bn643
67	be quiet! System Power 9 400 W 80+ Bronze Certified ATX Power Supply (BN245)	be quiet!	ATX	80+ Bronze	400 W	140 mm	No	Black	ATX	No	0	1	0	0	2	0	5	2	€49.90	https://fi.pcpartpicker.com/product/2PZFf7/be-quiet-system-power-9-400-w-80-bronze-certified-atx-power-supply-bn245
68	Asus TUF Gaming 750 W 80+ Bronze Certified ATX Power Supply (TUF GAMING 750B)	Asus	ATX	80+ Bronze	750 W	150 mm	No	Black	ATX	No	0	2	0	0	4	0	8	4	€99.90	https://fi.pcpartpicker.com/product/GwkWGX/asus-tuf-gaming-750-w-80-bronze-certified-atx-power-supply-tuf-gaming-750b
69	be quiet! System Power 9 600 W 80+ Bronze Certified ATX Power Supply (BN247)	be quiet!	ATX	80+ Bronze	600 W	140 mm	No	Black	ATX	No	0	1	0	0	4	0	6	2	€71.90	https://fi.pcpartpicker.com/product/Wkprxr/be-quiet-system-power-9-600-w-80-bronze-certified-atx-power-supply-bn247
70	Asus ROG Strix 650 W 80+ Gold Certified Fully Modular ATX Power Supply (ROG-STRIX-650G)	Asus	ATX	80+ Gold	650 W	160 mm	Full	Black / Red	ATX	No	0	2	0	0	4	0	8	3	€116.00	https://fi.pcpartpicker.com/product/DRVG3C/asus-rog-strix-650-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-650g
71	Deepcool DQ750-M-V2L 750 W 80+ Gold Certified Fully Modular ATX Power Supply (DP-GD-DQ750-M-V2L)	Deepcool	ATX	80+ Gold	750 W	160 mm	Full	Black / Green	ATX	No	0	2	0	0	4	0	8	4	€122.90	https://fi.pcpartpicker.com/product/qbFKHx/deepcool-dq-m-v2l-750-w-80-gold-certified-fully-modular-atx-power-supply-dp-gd-dq750-m-v2l
72	be quiet! Pure Power 11 CM 600 W 80+ Gold Certified Semi-modular ATX Power Supply (BN298)	be quiet!	ATX	80+ Gold	600 W	160 mm	Semi	Black	ATX	No	0	1	0	0	4	0	6	3	€96.00	https://fi.pcpartpicker.com/product/K3Jtt6/be-quiet-pure-power-11-cm-600-w-80-gold-certified-semi-modular-atx-power-supply-bn298
73	Corsair TX650M 650 W 80+ Gold Certified Semi-modular ATX Power Supply (CP-9020229-EU)	Corsair	ATX	80+ Gold	650 W	140 mm	Semi	Black	ATX	No	0	2	0	0	4	0	6	4	€119.00	https://fi.pcpartpicker.com/product/PR92FT/corsair-txm-2021-650-w-80-gold-certified-semi-modular-atx-power-supply-cp-9020229-eu
74	Asus ROG-STRIX-850G 850 W 80+ Gold Certified Fully Modular ATX Power Supply (90YE00A3-B0NA00)	Asus	ATX	80+ Gold	850 W	160 mm	Full	Black	ATX	No	0	2	0	0	6	0	8	6	€132.90	https://fi.pcpartpicker.com/product/4cWBD3/asus-rog-strix-g-850-w-80-gold-certified-fully-modular-atx-power-supply-90ye00a3-b0na00
75	be quiet! Pure Power 11 FM 1000 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (BN676)	be quiet!	ATX	80+ Gold	1000 W	160 mm	Full	Black	ATX	No	0	2	0	0	6	0	10	2	€159.90	https://fi.pcpartpicker.com/product/QnBG3C/be-quiet-pure-power-11-fm-1000-w-80-gold-certified-fully-modular-atx-power-supply-bn676
76	SeaSonic FOCUS PX 850 W 80+ Platinum Certified Fully Modular ATX Power Supply (FOCUS-PX-850)	SeaSonic	ATX	80+ Platinum	850 W	140 mm	Full	Black	ATX	No	0	2	0	0	6	0	10	5	€167.90	https://fi.pcpartpicker.com/product/rmrYcf/seasonic-focus-px-850-w-80-platinum-certified-fully-modular-atx-power-supply-focus-px-850
77	be quiet! Pure Power 11 FM 750 750 W 80+ Gold Certified Fully Modular ATX Power Supply (BN672)	be quiet!	ATX	80+ Gold	750 W	165 mm	Full	Black	ATX	No	0	2	0	0	4	0	9	2	€119.90	https://fi.pcpartpicker.com/product/kB4Ycf/be-quiet-pure-power-11-fm-750-w-80-gold-certified-fully-modular-atx-power-supply-bn672
78	be quiet! Dark Power 12 850 W 80+ Titanium Certified Fully Modular ATX Power Supply (BN315)	be quiet!	ATX	80+ Titanium	850 W	175 mm	Full	Black	ATX	No	0	2	0	0	6	0	12	5	€236.00	https://fi.pcpartpicker.com/product/XDxRsY/be-quiet-dark-power-12-850-w-80-titanium-certified-fully-modular-atx-power-supply-bn315
79	Phanteks Revolt X 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply (PH-P1200PS)	Phanteks	ATX	80+ Platinum	1200 W	170 mm	Full	Black / Silver	ATX	No	0	4	0	0	8	0	16	3	€276.90	https://fi.pcpartpicker.com/product/Qgx2FT/phanteks-revolt-x-1200w-80-platinum-certified-fully-modular-atx-power-supply-ph-p1200ps
