id	Name	Manufacturer	Capacity	Type	Cache	Form Factor	Interface	NVME	Price	Url
71	Western Digital Blue Mobile 2 TB 2.5" 5400RPM Internal Hard Drive (WD20SPZX)	Western Digital	2 TB	5400RPM	128 MB	2.5	SATA 6.0 Gb/s	No	€80.00	https://fi.pcpartpicker.com/product/fxfhP6/western-digital-blue-mobile-2tb-25-5400rpm-internal-hard-drive-wd20spzx
72	Western Digital Caviar Black 500 GB 3.5" 7200RPM Internal Hard Drive (WD5003AZEX)	Western Digital	500 GB	7200RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€93.00	https://fi.pcpartpicker.com/product/bCTmP6/western-digital-internal-hard-drive-wd5003azex
73	Western Digital Red 1 TB 3.5" 5400RPM Internal Hard Drive (WD10EFRX)	Western Digital	1 TB	5400RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€75.00	https://fi.pcpartpicker.com/product/RwW9TW/western-digital-internal-hard-drive-wd10efrx
74	Seagate IronWolf Pro 14 TB 3.5" 7200RPM Internal Hard Drive (ST14000NE0008)	Seagate	14 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€440.00	https://fi.pcpartpicker.com/product/t7BTwP/seagate-ironwolf-pro-14tb-35-7200rpm-internal-hard-drive-st14000ne0008
75	Seagate SkyHawk 1 TB 3.5" 5900RPM Internal Hard Drive (ST1000VX005)	Seagate	1 TB	5900RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€63.00	https://fi.pcpartpicker.com/product/KrzZxr/seagate-skyhawk-1tb-35-5900rpm-internal-hard-drive-st1000vx005
76	Seagate BarraCuda 500 GB 2.5" 5400RPM Internal Hard Drive (ST500LM030)	Seagate	500 GB	5400RPM	128 MB	2.5	SATA 6.0 Gb/s	No	€59.00	https://fi.pcpartpicker.com/product/W7dFf7/seagate-barracuda-500gb-25-5400rpm-internal-hard-drive-st500lm030
77	Western Digital Purple 2 TB 3.5" 5400RPM Internal Hard Drive (WD22PURZ)	Western Digital	2 TB	5400RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€80.00	https://fi.pcpartpicker.com/product/WyTp99/western-digital-purple-2-tb-35-5400rpm-internal-hard-drive-wd22purz
78	Western Digital Purple 2 TB 3.5" 5400RPM Internal Hard Drive (WD20PURZ)	Western Digital	2 TB	5400RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€91.00	https://fi.pcpartpicker.com/product/39Nv6h/western-digital-purple-2tb-35-5400rpm-internal-hard-drive-wd20purz
79	Western Digital Purple Pro 8 TB 3.5" 7200RPM Internal Hard Drive (WD8001PURP)	Western Digital	8 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€248.00	https://fi.pcpartpicker.com/product/72LFf7/western-digital-8-tb-35-7200rpm-internal-hard-drive-wd8001purp
80	Western Digital Red Pro 14 TB 3.5" 7200RPM Internal Hard Drive (WD141KFGX)	Western Digital	14 TB	7200RPM		3.5	SATA 6.0 Gb/s	No	€472.00	https://fi.pcpartpicker.com/product/8x9tt6/western-digital-red-pro-14-tb-35-7200rpm-internal-hard-drive-wd141kfgx
