id	Name	Manufacturer	Type	Color	Power Supply	Side Panel Window	Power Supply Shroud	Motherboard Form Factor	Maximum Video Card Length	Volume	Dimensions	Price	Url
22	Corsair SPEC-DELTA RGB ATX Mid Tower Case (CC-9011166-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	330 mm / 12.992	41.58 L	440 mm x 210 mm x 450 mm	€80.90	https://fi.pcpartpicker.com/product/VPrmP6/corsair-spec-delta-rgb-atx-mid-tower-case-cc-9011166-ww
23	Deepcool MATREXX 55 MESH ATX Mid Tower Case (DP-ATX-MATREXX55-MESH)	Deepcool	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	370 mm / 14.567	44.352 L	440 mm x 210 mm x 480 mm	€48.90	https://fi.pcpartpicker.com/product/b9tKHx/deepcool-matrexx-55-mesh-atx-mid-tower-case-dp-atx-matrexx55-mesh
24	NZXT H7 Flow ATX Mid Tower Case (CM-H71FB-01)	NZXT	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	400 mm / 15.748	55.752 L	480 mm x 230 mm x 505 mm	€144.90	https://fi.pcpartpicker.com/product/c7jBD3/nzxt-h7-flow-atx-mid-tower-case-cm-h71fb-01
25	Corsair Carbide 175R RGB ATX Mid Tower Case (CC-9011171-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	No	ATX	330 mm / 12.992			€69.90	https://fi.pcpartpicker.com/product/Vk448d/corsair-carbide-175r-rgb-atx-mid-tower-case-cc-9011171-ww
26	Corsair 7000D AIRFLOW ATX Full Tower Case (CC-9011218WW)	Corsair	ATX Full Tower	Black	None	Tempered Glass	Yes	ATX	450 mm / 17.717	81.84 L	550 mm x 248 mm x 600 mm	€299.00	https://fi.pcpartpicker.com/product/4fhFf7/corsair-7000d-airflow-atx-mid-tower-case-cc-9011218ww
27	Lian Li O11 Dynamic Mini ATX Mid Tower Case (O11D Mini-X)	Lian Li	ATX Mid Tower	Black	None	Tempered Glass	No	ATX	370 mm / 14.567	43.012 L	420 mm x 269.5 mm x 380 mm	€108.90	https://fi.pcpartpicker.com/product/ByJmP6/lian-li-o11-dynamic-mini-atx-mid-tower-case-o11d-mini-x
28	Corsair iCUE 5000X RGB ATX Mid Tower Case (CC-9011212-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	420 mm / 16.535			€204.90	https://fi.pcpartpicker.com/product/v7Dkcf/corsair-icue-5000x-rgb-atx-mid-tower-case-cc-9011212-ww
29	Corsair 275R Airflow ATX Mid Tower Case (CC-9011181-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	370 mm / 14.567			€99.90	https://fi.pcpartpicker.com/product/sY9tt6/corsair-275r-airflow-atx-mid-tower-case-cc-9011181-ww
30	Aerocool Cylon ATX Mid Tower Case (Cylon RGB)	Aerocool	ATX Mid Tower	Black	None	Acrylic	Yes	ATX	346 mm / 13.622 With Drive Cages	37.534 L	413 mm x 198 mm x 459 mm	€49.90	https://fi.pcpartpicker.com/product/VFPKHx/aerocool-cylon-atx-mid-tower-case-cylon-rgb
31	Cooler Master MasterBox TD500 Mesh White w/ Controller ATX Mid Tower Case (MCB-D500D-WGNN-S01)	Cooler Master	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	410 mm / 16.142			€135.90	https://fi.pcpartpicker.com/product/gfn8TW/cooler-master-masterbox-td500-mesh-white-w-controller-atx-mid-tower-case-mcb-d500d-wgnn-s01
32	Lian Li O11 Air Mini ATX Mid Tower Case (O11AMW)	Lian Li	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	362 mm / 14.252	44.237 L	400 mm x 288 mm x 384 mm	€129.90	https://fi.pcpartpicker.com/product/9rt9TW/lian-li-o11-air-mini-atx-mid-tower-case-o11amw
33	NZXT H510 Elite ATX Mid Tower Case (CA-H510E-B1)	NZXT	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	381 mm / 15	41.345 L	428 mm x 210 mm x 460 mm	€169.90	https://fi.pcpartpicker.com/product/rNkj4D/nzxt-h510-elite-atx-mid-tower-case-ca-h510e-b1
